State,name,party,district,phone,url,twitter,facebook,youtube,instagram
Alabama,Barry Moore,R,AL-01,202-225-2901,https://barrymoore.house.gov,RepBarryMoore,RepBarryMoore,,
Alabama,Shomari Figures,D,AL-02,202-225-4931,https://figures.house.gov,repscfigures,congressman.shomari.figures,,repscfigures
Alabama,Mike Rogers,R,AL-03,202-225-3261,https://mikerogers.house.gov,RepMikeRogersAL,CongressmanMikeDRogers,MikeRogersAL03,repmikerogersal
Alabama,Robert Aderholt,R,AL-04,202-225-4876,https://aderholt.house.gov,Robert_Aderholt,RobertAderholt,RobertAderholt,
Alabama,Dale Strong,R,AL-05,202-225-4801,https://strong.house.gov,RepDaleStrong,repdalestrong,,repdalestrong
Alabama,Gary Palmer,R,AL-06,202-225-4921,https://palmer.house.gov,USRepGaryPalmer,CongressmanGaryPalmer,,repgarypalmer
Alabama,Terri Sewell,D,AL-07,202-225-2665,https://sewell.house.gov,RepTerriSewell,RepSewell,RepSewell,repterriasewell
Alabama,Tommy Tuberville,R,Senate,202-224-4124,https://www.tuberville.senate.gov,SenTuberville,RogerMarshallMD,,sentuberville
Alabama,Katie Britt,R,Senate,202-224-5744,https://www.britt.senate.gov,SenKatieBritt,senkatiebritt,UCbrYQF8n5ftTPqn8ZNo5vYw,senkatiebritt
Alaska,Nicholas Begich,R,AK-AL,202-225-5765,https://begich.house.gov,repnickbegich,RepNickBegich,,RepNickBegich
Alaska,Lisa Murkowski,R,Senate,202-224-6665,https://www.murkowski.senate.gov,LisaMurkowski,SenLisaMurkowski,senatormurkowski,senlisamurkowski
Alaska,Dan Sullivan,R,Senate,202-224-3004,https://www.sullivan.senate.gov,SenDanSullivan,SenDanSullivan,,sen_dansullivan
American Samoa,Aumua Amata Radewagen,R,AS-AL,202-225-8577,https://radewagen.house.gov,RepAmata,aumuaamata,,
Arizona,David Schweikert,R,AZ-01,202-225-2190,https://schweikert.house.gov,RepDavid,repdavidschweikert,RepDavidSchweikert,repdavid
Arizona,Eli Crane,R,AZ-02,202-225-3361,https://crane.house.gov,RepEliCrane,100088851021670,@rep.elicrane,
Arizona,Yassamin Ansari,D,AZ-03,202-225-4065,https://ansari.house.gov,RepYassAnsari,RepYassAnsari,,RepYassAnsari
Arizona,Greg Stanton,D,AZ-04,202-225-9888,https://stanton.house.gov,RepGregStanton,repgregstanton,,repgregstanton
Arizona,Andy Biggs,R,AZ-05,202-225-2635,https://biggs.house.gov,RepAndyBiggsAZ,RepAndyBiggs,,repandybiggs
Arizona,Juan Ciscomani,R,AZ-06,202-225-2542,https://ciscomani.house.gov,RepCiscomani,100089186535085,UCD329AYGX7YnMMSUaTKWHwA,repjuanciscomani
Arizona,Abraham Hamadeh,R,AZ-08,202-225-4576,https://hamadeh.house.gov,,,,
Arizona,Paul Gosar,R,AZ-09,202-225-2315,https://gosar.house.gov,RepGosar,repgosar,repgosar,REPGOSAR
Arizona,Ruben Gallego,D,Senate,202-224-4521,https://www.gallego.senate.gov,RepRubenGallego,RepRubenGallego,,reprubengallego
Arizona,Mark Kelly,D,Senate,202-224-2235,https://www.kelly.senate.gov,SenMarkKelly,SenMarkKelly,SenMarkKelly,senmarkkelly
Arkansas,Eric Crawford,R,AR-01,202-225-4076,https://crawford.house.gov,RepRickCrawford,RepRickCrawford,RepRickCrawford,reprickcrawford
Arkansas,J. Hill,R,AR-02,202-225-2506,https://hill.house.gov,RepFrenchHill,RepFrenchHill,,repfrenchhill
Arkansas,Steve Womack,R,AR-03,202-225-4301,https://womack.house.gov,Rep_SteveWomack,RepSteveWomack,CongressmanWomack,rep_stevewomack
Arkansas,Bruce Westerman,R,AR-04,202-225-3772,https://westerman.house.gov,RepWesterman,RepWesterman,,
